NE Name,Resource Name,Queue Block,Queue Number,Time,Dequeued (Bytes),Dequeued (Frames),Dropped (Bytes),Dropped (Frames)
NACM_172.17.238.90,Ethernet 1/4,0/1,3,2026-02-05 13:56:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/4,0/1,3,2026-02-05 13:58:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/4,0/1,4,2026-02-05 13:46:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/4,0/1,4,2026-02-05 13:48:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/4,0/1,4,2026-02-05 13:50:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/4,0/1,4,2026-02-05 13:52:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/4,0/1,4,2026-02-05 13:54:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/4,0/1,4,2026-02-05 13:56:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/4,0/1,4,2026-02-05 13:58:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/4,0/1,5,2026-02-05 13:46:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/4,0/1,5,2026-02-05 13:48:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/4,0/1,5,2026-02-05 13:50:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/4,0/1,5,2026-02-05 13:52:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/4,0/1,5,2026-02-05 13:54:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/4,0/1,5,2026-02-05 13:56:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/4,0/1,5,2026-02-05 13:58:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/4,0/1,6,2026-02-05 13:46:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/4,0/1,6,2026-02-05 13:48:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/4,0/1,6,2026-02-05 13:50:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/4,0/1,6,2026-02-05 13:52:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/4,0/1,6,2026-02-05 13:54:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/4,0/1,6,2026-02-05 13:56:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/4,0/1,6,2026-02-05 13:58:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/4,0/1,7,2026-02-05 13:46:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/4,0/1,7,2026-02-05 13:48:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/4,0/1,7,2026-02-05 13:50:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/4,0/1,7,2026-02-05 13:52:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/4,0/1,7,2026-02-05 13:54:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/4,0/1,7,2026-02-05 13:56:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/4,0/1,7,2026-02-05 13:58:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,0,2026-02-05 14:00:17,1885140352,14727659,14440394624,112815581
NACM_172.17.238.90,Ethernet 1/3,0/1,1,2026-02-05 14:00:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,2,2026-02-05 14:00:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,3,2026-02-05 14:00:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,4,2026-02-05 14:00:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,5,2026-02-05 14:00:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,6,2026-02-05 14:00:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,7,2026-02-05 14:00:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/4,0/1,0,2026-02-05 14:00:17,1836273024,14345883,0,0
NACM_172.17.238.90,Ethernet 1/4,0/1,1,2026-02-05 14:00:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/4,0/1,2,2026-02-05 14:00:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/4,0/1,3,2026-02-05 14:00:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/4,0/1,4,2026-02-05 14:00:17,0,0,0,0
